2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
00-0000,All Occupations,total,Summary,164482.6,169148.1,4665.5,2.8,6,18566.5,46310.0,—,—,—,,,,,,,,
11-0000,Management Occupations,major,Summary,12574.7,13257.7,683.0,5.4,15.8,1053.1,107360.0,—,—,—,,,20199,40.5,81.6,9,6.6,11.5
11-1000,Top Executives,minor,Summary,3832.2,3958.0,125.8,3.3,1.8,315.0,99890.0,—,—,—,,,,,,,,
11-1011,Chief Executives,detailed,Line item,280.0,257.0,-23.0,-8.2,21.2,15.3,189520.0,Bachelor's degree,5 years or more,,Productivity change - share decreases as changing organizational structures allow fewer chief executives to manage the day-to-day operations of an organization.,0.015,1780,29.2,85.9,5.9,6.7,6.8
11-1021,General and Operations Managers,detailed,Line item,3507.8,3655.1,147.3,4.2,0.3,296.3,98100.0,Bachelor's degree,5 years or more,,,0.16,1165,35.4,82.4,9.1,5.3,11.5
11-1031,Legislators,detailed,Line item,44.4,46.0,1.5,3.4,—,3.4,48090.0,Bachelor's degree,Less than 5 years,,,,14,–,–,–,–,–
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,Summary,1049.4,1102.2,52.8,5.0,3.5,85.0,132820.0,—,—,—,,,,,,,,
11-2011,Advertising and Promotions Managers,detailed,Line item,30.9,31.4,0.6,1.9,27,2.8,127830.0,Bachelor's degree,Less than 5 years,,Productivity change - share decreases as consolidation of back office jobs allows same amount of output to be produced by fewer advertising and promotions managers.,0.039,68,49.7,80.3,13.8,4.4,8.9
11-2020,Marketing and Sales Managers,broad,Summary,912.9,959.1,46.2,5.1,2.9,74.4,133880.0,—,—,—,,,,,,,,
11-2021,Marketing Managers,detailed,Line item,358.2,381.9,23.7,6.6,5.3,31.2,140040.0,Bachelor's degree,5 years or more,,Productivity change - share decreases as consolidation of back office functions allow the same amount of output to be produced by fewer marketing managers.,0.014,656,58.9,83.9,6.8,7.5,11.4
11-2022,Sales Managers,detailed,Line item,554.7,577.2,22.5,4.0,1.3,43.2,130600.0,Bachelor's degree,Less than 5 years,,"Demand change - share decreases as growth in online sales will reduce the need for sales staff, including sales managers, on car showroom floors.",0.013,566,34.2,88.3,5.9,3.5,11.3
11-2030,Public Relations and Fundraising Managers,broad,Summary,105.7,111.7,6.0,5.7,2.3,7.8,125620.0,—,—,—,,,131,64.3,87.4,8.9,2.9,7.5
11-2032,Public Relations Managers,detailed,Line item,72.0,76.3,4.3,5.9,2.3,5.4,129430.0,Bachelor's degree,5 years or more,,,,,,,,,
11-2033,Fundraising Managers,detailed,Line item,33.7,35.4,1.7,5.1,2.1,2.5,107390.0,Bachelor's degree,5 years or more,,,,,,,,,
11-3000,Operations Specialties Managers,minor,Summary,2455.5,2722.6,267.1,10.9,1.6,205.5,130950.0,—,—,—,,,,,,,,
11-3010,Administrative Services and Facilities Managers,broad,Summary,377.8,397.7,19.9,5.3,0.4,31.4,101870.0,—,—,—,,,,,,,,
11-3012,Administrative Services Managers,detailed,Line item,250.8,264.9,14.0,5.6,—,21.1,103330.0,Bachelor's degree,Less than 5 years,,,,69,78.2,82.1,9.4,4.8,17.3
11-3013,Facilities Managers,detailed,Line item,127.0,132.8,5.8,4.6,1.2,10.3,99030.0,Bachelor's degree,Less than 5 years,,,,129,19.3,92,6.1,1.1,17.8
11-3021,Computer and Information Systems Managers,detailed,Line item,557.4,643.3,86.0,15.4,1.2,46.9,164070.0,Bachelor's degree,5 years or more,,"Demand change - share increases as organizations increasingly rely on IT services, supporting an increased demand for computer and information systems managers to plan and oversee computer hardware and software needs.",0.035,764,26.4,72.6,7.8,16.5,7.5
11-3031,Financial Managers,detailed,Line item,792.6,919.2,126.6,16.0,2.5,69.6,139790.0,Bachelor's degree,5 years or more,,"Demand change - share increases as several economic trends, including a greater emphasis on risk management and increases in corporate cash holdings, will increase demand for financial managers.",0.069,1380,55.7,78.5,9.6,9.3,10.1
11-3051,Industrial Production Managers,detailed,Line item,222.1,225.7,3.6,1.6,2.3,15.3,107560.0,Bachelor's degree,5 years or more,,,0.03,281,22.5,84,6.7,6.7,12.9
11-3061,Purchasing Managers,detailed,Line item,77.5,80.9,3.4,4.4,1.7,6.1,131350.0,Bachelor's degree,5 years or more,,,0.03,234,45.5,78.2,11.5,7.5,8.4
11-3071,"Transportation, Storage, and Distribution Managers",detailed,Line item,177.7,192.3,14.6,8.2,1.9,15.9,98560.0,High school diploma or equivalent,5 years or more,,Demand change - share increases as supply chain management grows more complex resulting in the need for enhanced integration of logistics with business systems and processes.,0.59,351,22.6,85.1,8.9,3.4,17.2
11-3111,Compensation and Benefits Managers,detailed,Line item,17.5,17.8,0.4,2.2,—,1.1,131280.0,Bachelor's degree,5 years or more,,"Sourcing change, capital/labor substitution - share decreases as compensation and benefits activities continue to be outsourced or automated through specialized software.",0.96,18,–,–,–,–,–
11-3121,Human Resources Managers,detailed,Line item,191.6,201.6,10.0,5.2,1.4,15.5,130000.0,Bachelor's degree,5 years or more,,,0.0055,295,72.9,81.5,12,4,11.6
11-3131,Training and Development Managers,detailed,Line item,41.3,44.0,2.7,6.5,—,3.5,120000.0,Bachelor's degree,5 years or more,,,0.0063,63,48.7,86.4,6.2,6.6,4.4
11-9000,Other Management Occupations,minor,Summary,5237.5,5474.9,237.4,4.5,35.1,447.6,99740.0,—,—,—,,,,,,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,Line item,922.9,880.6,-42.3,-4.6,67.2,88.8,75760.0,High school diploma or equivalent,5 years or more,,,0.047,946,23.9,94.8,1.5,0.6,6.6
11-9021,Construction Managers,detailed,Line item,505.8,528.7,22.9,4.5,39.3,38.7,101480.0,Bachelor's degree,,Moderate-term on-the-job training,"Demand change - share increases as technical and process improvements increase the need for construction managers to track costs, materials, and schedules.",0.071,1057,8.5,89.8,5.3,2.6,16.2
11-9030,Education and Childcare Administrators,broad,Summary,651.0,661.4,10.3,1.6,2.9,44.1,97920.0,—,—,—,,,988,68.1,78,16.3,4,9.8
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,Line item,74.8,72.6,-2.2,-3.0,6.8,4.6,49690.0,Bachelor's degree,Less than 5 years,,,0.015,,,,,,
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,Line item,300.4,303.7,3.3,1.1,1.5,20.2,101320.0,Master's degree,5 years or more,,,0.0046,,,,,,
11-9033,"Education Administrators, Postsecondary",detailed,Line item,218.2,225.9,7.7,3.5,2.9,15.3,99940.0,Master's degree,Less than 5 years,,,0.01,,,,,,
11-9039,"Education Administrators, All Other",detailed,Line item,57.6,59.2,1.6,2.8,4.8,4.0,89130.0,Bachelor's degree,Less than 5 years,,,,,,,,,
11-9041,Architectural and Engineering Managers,detailed,Line item,201.5,209.7,8.2,4.1,0.2,13.6,159920.0,Bachelor's degree,5 years or more,,,0.017,202,13.3,76.5,6.7,14.3,9.6
11-9051,Food Service Managers,detailed,Line item,357.5,359.2,1.6,0.5,33.4,39.6,61310.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,Demand change - share increases as movie theaters continue to expand food and beverage offerings and the number of luxury or boutique movie theaters continues to increase.,0.083,1153,46.3,71.2,13,11.2,19.5
11-9070,Entertainment and Recreation Managers,broad,Summary,31.7,34.1,2.3,7.3,7.4,3.7,71420.0,—,—,—,,,65,41.5,87.4,7.1,1.6,8.6
11-9071,Gambling Managers,detailed,Line item,5.3,5.4,0.1,2.6,6.5,0.6,80710.0,High school diploma or equivalent,Less than 5 years,,,0.091,,,,,,
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,Line item,26.4,28.6,2.2,8.3,7.6,3.1,67220.0,Bachelor's degree,Less than 5 years,,,,,,,,,
11-9081,Lodging Managers,detailed,Line item,50.8,54.2,3.4,6.7,17.1,5.4,61910.0,High school diploma or equivalent,Less than 5 years,,,0.0039,113,46.7,75.4,6.6,12.9,8.4
11-9111,Medical and Health Services Managers,detailed,Line item,509.5,654.2,144.7,28.4,3.5,54.7,104830.0,Bachelor's degree,Less than 5 years,,Demand change - share increases as healthcare providers utilize broader team structures which will require increased use of specialized management.,0.0073,797,71.6,74.6,16,7.3,9
11-9121,Natural Sciences Managers,detailed,Line item,86.3,90.5,4.2,4.8,—,6.5,144440.0,Bachelor's degree,5 years or more,,,0.018,28,–,–,–,–,–
11-9131,Postmasters and Mail Superintendents,detailed,Line item,13.0,12.1,-0.9,-6.7,—,0.8,82760.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,,0.75,26,–,–,–,–,–
