2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all occupations",00-0000,Summary,"164,482.60","169,148.10","4,665.50",2.8,6,"18,566.50","$46,310 ",,,
  Management occupations,11-0000,Summary,"12,574.70","13,257.70",683,5.4,15.8,"1,053.10","$107,360 ",,,
    Top executives,11-1000,Summary,"3,832.20","3,958.00",125.8,3.3,1.8,315,"$99,890 ",,,
      Chief executives,11-1011,Line item,280,257,-23,-8.2,21.2,15.3,"$189,520 ",Bachelor's degree,5 years or more,None
      General and operations managers,11-1021,Line item,"3,507.80","3,655.10",147.3,4.2,0.3,296.3,"$98,100 ",Bachelor's degree,5 years or more,None
      Legislators,11-1031,Line item,44.4,46,1.5,3.4,,3.4,"$48,090 ",Bachelor's degree,Less than 5 years,None
"    Advertising, marketing, promotions, public relations, and sales managers",Nov-00,Summary,"1,049.40","1,102.20",52.8,5,3.5,85,"$132,820 ",,,
      Advertising and promotions managers,11-Nov,Line item,30.9,31.4,0.6,1.9,27,2.8,"$127,830 ",Bachelor's degree,Less than 5 years,None
      Marketing and sales managers,20-Nov,Summary,912.9,959.1,46.2,5.1,2.9,74.4,"$133,880 ",,,
        Marketing managers,21-Nov,Line item,358.2,381.9,23.7,6.6,5.3,31.2,"$140,040 ",Bachelor's degree,5 years or more,None
        Sales managers,22-Nov,Line item,554.7,577.2,22.5,4,1.3,43.2,"$130,600 ",Bachelor's degree,Less than 5 years,None
      Public relations and fundraising managers,30-Nov,Summary,105.7,111.7,6,5.7,2.3,7.8,"$125,620 ",,,
        Public relations managers,Nov-32,Line item,72,76.3,4.3,5.9,2.3,5.4,"$129,430 ",Bachelor's degree,5 years or more,None
        Fundraising managers,Nov-33,Line item,33.7,35.4,1.7,5.1,2.1,2.5,"$107,390 ",Bachelor's degree,5 years or more,None
    Operations specialties managers,Nov-00,Summary,"2,455.50","2,722.60",267.1,10.9,1.6,205.5,"$130,950 ",,,
      Administrative services and facilities managers,10-Nov,Summary,377.8,397.7,19.9,5.3,0.4,31.4,"$101,870 ",,,
        Administrative services managers,12-Nov,Line item,250.8,264.9,14,5.6,,21.1,"$103,330 ",Bachelor's degree,Less than 5 years,None
        Facilities managers,13-Nov,Line item,127,132.8,5.8,4.6,1.2,10.3,"$99,030 ",Bachelor's degree,Less than 5 years,None
      Computer and information systems managers,21-Nov,Line item,557.4,643.3,86,15.4,1.2,46.9,"$164,070 ",Bachelor's degree,5 years or more,None
      Financial managers,Nov-31,Line item,792.6,919.2,126.6,16,2.5,69.6,"$139,790 ",Bachelor's degree,5 years or more,None
      Industrial production managers,Nov-51,Line item,222.1,225.7,3.6,1.6,2.3,15.3,"$107,560 ",Bachelor's degree,5 years or more,None
      Purchasing managers,Nov-61,Line item,77.5,80.9,3.4,4.4,1.7,6.1,"$131,350 ",Bachelor's degree,5 years or more,None
"      Transportation, storage, and distribution managers",Nov-71,Line item,177.7,192.3,14.6,8.2,1.9,15.9,"$98,560 ",High school diploma or equivalent,5 years or more,None
      Compensation and benefits managers,11-Nov,Line item,17.5,17.8,0.4,2.2,,1.1,"$131,280 ",Bachelor's degree,5 years or more,None
      Human resources managers,21-Nov,Line item,191.6,201.6,10,5.2,1.4,15.5,"$130,000 ",Bachelor's degree,5 years or more,None
      Training and development managers,Nov-31,Line item,41.3,44,2.7,6.5,,3.5,"$120,000 ",Bachelor's degree,5 years or more,None
    Other management occupations,Nov-00,Summary,"5,237.50","5,474.90",237.4,4.5,35.1,447.6,"$99,740 ",,,
"      Farmers, ranchers, and other agricultural managers",13-Nov,Line item,922.9,880.6,-42.3,-4.6,67.2,88.8,"$75,760 ",High school diploma or equivalent,5 years or more,None
      Construction managers,21-Nov,Line item,505.8,528.7,22.9,4.5,39.3,38.7,"$101,480 ",Bachelor's degree,None,Moderate-term on-the-job training
      Education and childcare administrators,30-Nov,Summary,651,661.4,10.3,1.6,2.9,44.1,"$97,920 ",,,
"        Education and childcare administrators, preschool and daycare",Nov-31,Line item,74.8,72.6,-2.2,-3,6.8,4.6,"$49,690 ",Bachelor's degree,Less than 5 years,None
"        Education administrators, kindergarten through secondary",Nov-32,Line item,300.4,303.7,3.3,1.1,1.5,20.2,"$101,320 ",Master's degree,5 years or more,None
"        Education administrators, postsecondary",Nov-33,Line item,218.2,225.9,7.7,3.5,2.9,15.3,"$99,940 ",Master's degree,Less than 5 years,None
"        Education administrators, all other",Nov-39,Line item,57.6,59.2,1.6,2.8,4.8,4,"$89,130 ",Bachelor's degree,Less than 5 years,None
      Architectural and engineering managers,Nov-41,Line item,201.5,209.7,8.2,4.1,0.2,13.6,"$159,920 ",Bachelor's degree,5 years or more,None
      Food service managers,Nov-51,Line item,357.5,359.2,1.6,0.5,33.4,39.6,"$61,310 ",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
